ID,Name,Club,Latitude,Longitude,Value,Category
182521,T. Kroos,Real Madrid,40.45306,-3.68835,76500000,Midfield
197781,Isco,Real Madrid,40.45306,-3.68835,73500000,Midfield
177003,L. Modri?,Real Madrid,40.45306,-3.68835,67000000,Midfield
173731,G. Bale,Real Madrid,40.45306,-3.68835,60000000,Forward
200145,Casemiro,Real Madrid,40.45306,-3.68835,59500000,Midfield
220834,Marco Asensio,Real Madrid,40.45306,-3.68835,54000000,Midfield
192119,T. Courtois,Real Madrid,40.45306,-3.68835,53500000,Goalkeeper
155862,Sergio Ramos,Real Madrid,40.45306,-3.68835,51000000,Defense
201535,R. Varane,Real Madrid,40.45306,-3.68835,50000000,Defense
176676,Marcelo,Real Madrid,40.45306,-3.68835,43000000,Defense
165153,K. Benzema,Real Madrid,40.45306,-3.68835,37000000,Forward
204963,Carvajal,Real Madrid,40.45306,-3.68835,31500000,Defense
193041,K. Navas,Real Madrid,40.45306,-3.68835,30500000,Goalkeeper
208618,Lucas Vázquez,Real Madrid,40.45306,-3.68835,27000000,Midfield
222509,Dani Ceballos,Real Madrid,40.45306,-3.68835,25000000,Midfield
200724,Nacho Fernández,Real Madrid,40.45306,-3.68835,24500000,Defense
221639,Mariano,Real Madrid,40.45306,-3.68835,20000000,Forward
234035,Odriozola,Real Madrid,40.45306,-3.68835,18500000,Defense
238794,Vinícius Júnior,Real Madrid,40.45306,-3.68835,17500000,Midfield
226161,Marcos Llorente,Real Madrid,40.45306,-3.68835,16000000,Midfield
225161,Vallejo,Real Madrid,40.45306,-3.68835,13500000,Defense
239053,F. Valverde,Real Madrid,40.45306,-3.68835,8500000,Midfield
177644,Kiko Casilla,Real Madrid,40.45306,-3.68835,7500000,Goalkeeper
245279,Reguilón,Real Madrid,40.45306,-3.68835,1400000,Defense
245238,Javi Sánchez,Real Madrid,40.45306,-3.68835,1200000,Defense
225105,Cristo González,Real Madrid,40.45306,-3.68835,1200000,Forward
241467,F. Feuillassier,Real Madrid,40.45306,-3.68835,1200000,Midfield
246608,Fidalgo,Real Madrid,40.45306,-3.68835,875000,Midfield
245287,Sergio López,Real Madrid,40.45306,-3.68835,875000,Defense
246606,Fran García,Real Madrid,40.45306,-3.68835,825000,Defense
243315,Dani Gómez,Real Madrid,40.45306,-3.68835,800000,Forward
243155,Manu Hernando,Real Madrid,40.45306,-3.68835,700000,Defense
240311,L. Zidane,Real Madrid,40.45306,-3.68835,350000,Goalkeeper
158023,L. Messi,FC Barcelona,41.380833,2.1225,110500000,Forward
176580,L. Suárez,FC Barcelona,41.380833,2.1225,80000000,Forward
189242,Coutinho,FC Barcelona,41.380833,2.1225,69500000,Midfield
192448,M. ter Stegen,FC Barcelona,41.380833,2.1225,58000000,Goalkeeper
205600,S. Umtiti,FC Barcelona,41.380833,2.1225,57000000,Defense
189511,Sergio Busquets,FC Barcelona,41.380833,2.1225,51500000,Midfield
168651,I. Rakiti?,FC Barcelona,41.380833,2.1225,46500000,Midfield
231443,O. Dembélé,FC Barcelona,41.380833,2.1225,40000000,Midfield
189332,Jordi Alba,FC Barcelona,41.380833,2.1225,38000000,Defense
152729,Piqué,FC Barcelona,41.380833,2.1225,34000000,Defense
230658,Arthur,FC Barcelona,41.380833,2.1225,32500000,Midfield
222737,Malcom,FC Barcelona,41.380833,2.1225,31500000,Midfield
201400,Rafinha,FC Barcelona,41.380833,2.1225,29500000,Midfield
199564,Sergi Roberto,FC Barcelona,41.380833,2.1225,26500000,Defense
181872,A. Vidal,FC Barcelona,41.380833,2.1225,26000000,Midfield
220440,C. Lenglet,FC Barcelona,41.380833,2.1225,26000000,Defense
227928,Nélson Semedo,FC Barcelona,41.380833,2.1225,20000000,Defense
199987,J. Cillessen,FC Barcelona,41.380833,2.1225,18000000,Goalkeeper
205192,Denis Suárez,FC Barcelona,41.380833,2.1225,17500000,Midfield
220253,Munir,FC Barcelona,41.380833,2.1225,12500000,Forward
233113,Aleñá,FC Barcelona,41.380833,2.1225,6000000,Midfield
157304,T. Vermaelen,FC Barcelona,41.380833,2.1225,5000000,Defense
208088,Sergi Samper,FC Barcelona,41.380833,2.1225,4800000,Midfield
242816,Riqui Puig,FC Barcelona,41.380833,2.1225,2100000,Midfield
237156,M. Wagué,FC Barcelona,41.380833,2.1225,1600000,Defense
239250,Abel Ruiz,FC Barcelona,41.380833,2.1225,1600000,Forward
239249,Oriol Busquets,FC Barcelona,41.380833,2.1225,1500000,Midfield
240915,Miranda,FC Barcelona,41.380833,2.1225,1200000,Defense
241810,Chumi,FC Barcelona,41.380833,2.1225,1000000,Defense
246599,Guillem Jaime,FC Barcelona,41.380833,2.1225,975000,Midfield
237522,Jorge Cuenca,FC Barcelona,41.380833,2.1225,850000,Defense
225395,Ezkieta,FC Barcelona,41.380833,2.1225,525000,Goalkeeper
246139,Iñaki Peña,FC Barcelona,41.380833,2.1225,450000,Goalkeeper
192985,K. De Bruyne,Manchester City,53.482989,-2.200292,102000000,Midfield
153079,S. Agüero,Manchester City,53.482989,-2.200292,64500000,Forward
222492,L. Sané,Manchester City,53.482989,-2.200292,61000000,Midfield
168542,David Silva,Manchester City,53.482989,-2.200292,60000000,Midfield
218667,Bernardo Silva,Manchester City,53.482989,-2.200292,59500000,Midfield
202652,R. Sterling,Manchester City,53.482989,-2.200292,56500000,Midfield
210257,Ederson,Manchester City,53.482989,-2.200292,41500000,Goalkeeper
230666,Gabriel Jesus,Manchester City,53.482989,-2.200292,41000000,Forward
204485,R. Mahrez,Manchester City,53.482989,-2.200292,40500000,Midfield
212218,A. Laporte,Manchester City,53.482989,-2.200292,34000000,Defense
186942,I. Gündo?an,Manchester City,53.482989,-2.200292,32000000,Midfield
192366,N. Otamendi,Manchester City,53.482989,-2.200292,28500000,Defense
203574,J. Stones,Manchester City,53.482989,-2.200292,28500000,Defense
188377,K. Walker,Manchester City,53.482989,-2.200292,24500000,Defense
139720,V. Kompany,Manchester City,53.482989,-2.200292,22000000,Defense
204884,B. Mendy,Manchester City,53.482989,-2.200292,20000000,Defense
135507,Fernandinho,Manchester City,53.482989,-2.200292,18000000,Midfield
199304,Danilo,Manchester City,53.482989,-2.200292,12000000,Defense
183427,F. Delph,Manchester City,53.482989,-2.200292,11500000,Defense
237692,P. Foden,Manchester City,53.482989,-2.200292,8000000,Midfield
190531,E. Mangala,Manchester City,53.482989,-2.200292,7500000,Defense
227813,O. Zinchenko,Manchester City,53.482989,-2.200292,3300000,Defense
174543,C. Bravo,Manchester City,53.482989,-2.200292,2400000,Goalkeeper
231410,Brahim Díaz,Manchester City,53.482989,-2.200292,2200000,Midfield
234679,P. Sandler,Manchester City,53.482989,-2.200292,1700000,Defense
245035,C. Gomes,Manchester City,53.482989,-2.200292,1100000,Midfield
223963,C. Humphreys-Grant,Manchester City,53.482989,-2.200292,600000,Defense
245037,Eric García,Manchester City,53.482989,-2.200292,550000,Defense
233051,L. Bolton,Manchester City,53.482989,-2.200292,525000,Midfield
233164,A. Muric,Manchester City,53.482989,-2.200292,450000,Goalkeeper
241632,B. Garré,Manchester City,53.482989,-2.200292,400000,Midfield
233048,T. Dele-Bashiru,Manchester City,53.482989,-2.200292,210000,Midfield
224947,D. Grimshaw,Manchester City,53.482989,-2.200292,120000,Goalkeeper
211110,P. Dybala,Juventus,45.109594,7.641247,89000000,Forward
20801,Cristiano Ronaldo,Juventus,45.109594,7.641247,77000000,Forward
190483,Douglas Costa,Juventus,45.109594,7.641247,46500000,Midfield
180206,M. Pjani?,Juventus,45.109594,7.641247,44000000,Midfield
191043,Alex Sandro,Juventus,45.109594,7.641247,36500000,Defense
179846,S. Khedira,Juventus,45.109594,7.641247,33000000,Midfield
186153,W. Szcz?sny,Juventus,45.109594,7.641247,32000000,Goalkeeper
184344,L. Bonucci,Juventus,45.109594,7.641247,30000000,Defense
177509,M. Benatia,Juventus,45.109594,7.641247,30000000,Defense
193082,J. Cuadrado,Juventus,45.109594,7.641247,29500000,Midfield
198009,M. Perin,Juventus,45.109594,7.641247,29500000,Goalkeeper
212404,F. Bernardeschi,Juventus,45.109594,7.641247,29500000,Midfield
138956,G. Chiellini,Juventus,45.109594,7.641247,27000000,Defense
170890,B. Matuidi,Juventus,45.109594,7.641247,26000000,Midfield
210514,João Cancelo,Juventus,45.109594,7.641247,25500000,Defense
181783,M. Mandžuki?,Juventus,45.109594,7.641247,25000000,Forward
211320,D. Rugani,Juventus,45.109594,7.641247,24500000,Defense
208333,E. Can,Juventus,45.109594,7.641247,19500000,Midfield
227535,R. Bentancur,Juventus,45.109594,7.641247,15500000,Midfield
202884,L. Spinazzola,Juventus,45.109594,7.641247,11000000,Midfield
206058,M. De Sciglio,Juventus,45.109594,7.641247,10500000,Defense
236610,M. Kean,Juventus,45.109594,7.641247,6500000,Forward
137186,A. Barzagli,Juventus,45.109594,7.641247,4200000,Defense
189342,C. Pinsoglio,Juventus,45.109594,7.641247,2200000,Goalkeeper
245491,P. Beruatto,Juventus,45.109594,7.641247,575000,Defense
188545,R. Lewandowski,FC Bayern München,48.218775,11.62475278,77000000,Forward
198710,J. Rodríguez,FC Bayern München,48.218775,11.62475278,69500000,Midfield
178603,M. Hummels,FC Bayern München,48.218775,11.62475278,46000000,Defense
189509,Thiago,FC Bayern München,48.218775,11.62475278,45500000,Midfield
189596,T. Müller,FC Bayern München,48.218775,11.62475278,45000000,Midfield
212622,J. Kimmich,FC Bayern München,48.218775,11.62475278,40500000,Midfield
167495,M. Neuer,FC Bayern München,48.218775,11.62475278,38000000,Goalkeeper
197445,D. Alaba,FC Bayern München,48.218775,11.62475278,38000000,Defense
212190,N. Süle,FC Bayern München,48.218775,11.62475278,36500000,Defense
206113,S. Gnabry,FC Bayern München,48.218775,11.62475278,34500000,Forward
